%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
122867000000,0,0.273839634791,-0.0110080528838,-0.0219478811629,-0.0133758781665,-0.0397141387855,0.998880455098,0.0,-1.0
126155000000,0,0.243796027377,-0.131630327806,-0.0232575175237,-0.00605106556564,0.190334928526,0.981425028959,0.0,-1.0
129281000000,0,0.268001580885,-0.243395391961,-0.028764494459,-0.00868710016227,0.391604771784,0.919642778945,1.0,0.0
134043000000,0,-0.0147245103611,-0.516716279969,-0.0416288827054,-0.0225070759607,0.409866572552,0.910917043622,1.0,0.0
138897000000,0,-0.317116173615,-0.753221279347,-0.060973470764,0.0167421173228,0.338394113274,0.938877713801,1.0,0.0
143841000000,0,-0.64255132638,-0.964481451195,-0.0492799928268,0.0329900063676,0.289782986996,0.955253349764,1.0,0.0
148736000000,0,-0.953361176094,-1.16558753554,-0.0427364354133,0.0225097465671,0.289541370749,0.955945972857,1.0,0.0
153490000000,0,-1.22751411172,-1.33875684902,-0.0525760820537,0.0329865346726,0.278675012633,0.958377734226,1.0,0.0
158391000000,0,-1.51884456744,-1.63744611285,-0.034699548643,0.0605450593539,0.304870462465,0.949833795055,1.0,0.0
163396000000,0,-1.83427355221,-1.90065234317,0.0339817306987,0.0164052470041,0.283116969515,0.958342783884,1.0,0.0
168442000000,0,-2.12964396064,-2.129853429,0.0395662073548,0.0131669981506,0.300092930407,0.952998099954,1.0,0.0
173292000000,0,-2.45397925965,-2.33756459561,0.056292231131,-0.042044013081,0.29791225124,0.952004084151,1.0,0.0
178088000000,0,-2.79125568682,-2.50571265258,0.0515279434322,-0.0739812704002,0.264102140059,0.960271681501,1.0,0.0
182786000000,0,-3.12907130715,-2.72099243172,0.0256789247798,-0.049218876629,0.311548564454,0.948607182659,1.0,0.0
187562000000,0,-3.42428407018,-3.00144615309,0.0021322817249,-0.0231432172509,0.351251028952,0.935992820234,0.0,1.0
191039000000,0,-3.43330481766,-2.84255111761,-0.00425339988292,-0.0330427691321,0.110729275097,0.993292057571,1.0,0.0
195942000000,0,-3.81220189921,-2.89188309017,-0.0516002384778,-0.00632378145112,0.0871109599352,0.99484124655,1.0,0.0
200959000000,0,-4.14861136685,-2.94887864443,-0.0593712387552,0.0696682353364,0.0899467905895,0.991731298214,0.0,1.0
204259000000,0,-4.04549454895,-2.82963581751,-0.0812871923277,0.0337068047462,-0.135383319412,0.986877702911,0.0,1.0
207560000000,0,-3.91127969382,-2.73497578111,-0.0725692755776,0.0308815560292,-0.369706113797,0.925795560132,0.0,1.0
210886000000,0,-3.74073098132,-2.70717192117,-0.0774245454445,0.00358641629297,-0.631407320812,0.771568125706,1.0,0.0
215661000000,0,-3.80375524907,-2.3081171966,-0.0343433476363,0.01973105993,-0.659434599673,0.750717808835,0.0,-1.0
218866000000,0,-3.96039481265,-2.29518014707,-0.0211793921116,0.01530612827,-0.408346118654,0.912453069022,1.0,0.0
223560000000,0,-4.18141013017,-2.04774770202,-0.0106611321628,0.0466220582351,-0.407249805874,0.91206376946,0.0,1.0
226963000000,0,-4.03534789479,-2.0410177101,-0.0184676999667,0.0429286589644,-0.612895009546,0.788781200062,0.0,1.0
230341000000,0,-3.90643199241,-2.12422412099,-0.0301939639932,0.0403890146388,-0.778151872849,0.626048492385,1.0,0.0
235164000000,0,-3.80720322085,-1.79236807865,-0.0149831650175,0.050032770631,-0.795981644483,0.603063386614,0.0,-1.0
238442000000,0,-3.88634333383,-1.71358998375,-0.00216220310557,0.0482799848979,-0.682665474941,0.729131138588,1.0,0.0
243595000000,0,-3.92301941843,-1.36432234768,0.0177157127227,0.0731320387638,-0.670328982254,0.738239062892,1.0,0.0
248595000000,0,-3.90938535993,-1.02760444757,-0.00170382024184,0.0605040192934,-0.694543054639,0.716900485353,1.0,0.0
253543000000,0,-3.88914955167,-0.690186643526,-0.00970361441952,0.0417972617292,-0.712476155316,0.700383150058,1.0,0.0
258448000000,0,-3.89556970441,-0.346955848744,0.00890889992436,0.0436995316133,-0.706590288282,0.706216076668,1.0,0.0
263457000000,0,-3.89602588766,-0.00100853990191,0.0153319927769,0.030610223998,-0.711956056124,0.701388992167,1.0,0.0
268197000000,0,-3.90194037791,0.358197982507,-2.82535864843e-05,0.0028882764881,-0.703148388454,0.711037271087,1.0,0.0
273252000000,0,-3.90160802529,0.716069774806,-0.012164943341,-0.0210064686351,-0.703462548831,0.710317664726,1.0,0.0
278107000000,0,-3.8965983054,1.07415857567,-0.0269559996327,-0.0255578361968,-0.707770387833,0.705465271434,1.0,0.0
282751000000,0,-3.89499854587,1.47088340055,-0.0750984451129,-0.0225667246348,-0.696770166577,0.712995302543,1.0,0.0
287797000000,0,-3.90106082727,1.82354994326,-0.0764976021607,-0.0180682857692,-0.68641749561,0.722947214971,1.0,0.0
292788000000,0,-3.92468464733,2.18626128536,-0.0618963424,0.000245230656142,-0.675457273166,0.734796743859,1.0,0.0
297595000000,0,-3.9743977935,2.53911731741,-0.031456591605,0.0257849736937,-0.671392318044,0.739985116909,1.0,0.0
302498000000,0,-4.04063457727,2.89001367296,-0.00107956725957,0.033628690793,-0.662340455151,0.748447103783,1.0,0.0
307570000000,0,-4.1119707326,3.23312670354,0.0347891203948,0.0501586286812,-0.648421472025,0.758830299664,0.0,1.0
311070000000,0,-3.99431581591,3.13126183664,0.00735115989655,0.044596531434,-0.795114407687,0.604772840429,0.0,1.0
314671000000,0,-3.90023361244,2.97362517513,-0.00601693707503,0.0529037820641,-0.92297953215,0.381147962796,0.0,1.0
318136000000,0,-3.83603697909,2.78026119293,-0.0203644192846,0.046509447056,-0.997458667158,0.0499836880676,1.0,0.0
322788000000,0,-3.4865767232,2.76828955411,-0.0157235421231,0.0401908152532,-0.998956735716,0.0149301292424,1.0,0.0
327588000000,0,-3.14120921454,2.7768761258,-0.00472751857826,0.0341860783261,-0.999368980295,0.00840260911786,1.0,0.0
332471000000,0,-2.78283939899,2.81279215637,0.0393268025317,0.0221904283867,-0.998850774131,0.0160660670177,0.0,1.0
335938000000,0,-2.91275088915,2.73783816276,0.0065777228666,0.0275991850229,-0.983644285162,-0.177873378606,1.0,0.0
340770000000,0,-2.57855098062,2.62361686746,0.084948521485,0.0088514879052,-0.982474277893,-0.16567948919,0.0,1.0
344338000000,0,-2.75875406748,2.57664150562,0.0538379626229,0.0227102310977,-0.901041484656,-0.429778968906,1.0,0.0
349401000000,0,-2.41445149568,2.27594342684,0.0174025193174,-0.0193499605478,-0.9070157932,-0.420291663294,1.0,0.0
354371000000,0,-2.21771426564,1.96692668075,0.01385810841,0.00455490869427,-0.887217247183,-0.461121200921,0.0,-1.0
357604000000,0,-2.07305187824,1.98197613144,0.0132684058812,0.00466084679087,-0.977508981602,-0.210424373114,1.0,0.0
362546000000,0,-1.74951457735,1.81358398564,-0.00437566447554,0.0209403600259,-0.976418085763,-0.214825689053,1.0,0.0
367572000000,0,-1.44040115903,1.59705772431,-0.0198305744144,0.0549724416027,-0.965554011953,-0.253555179367,0.0,1.0
370983000000,0,-1.5947907751,1.48417154991,-0.043674182747,0.0500656328956,-0.838742401144,-0.540460158279,1.0,0.0
