%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
2192578000000,0,4.14565846502,2.69488269047,-0.0216113774054,-0.0236908454504,-0.538315114874,0.842133320388,1.0,0.0
2198194000000,0,4.0362530791,3.02703706132,-0.0244792172096,0.00469006734383,-0.578365672884,0.815396786615,1.0,0.0
2203412000000,0,3.87560646467,3.37109418723,-0.0252656480308,0.0113888677116,-0.54547781827,0.837666932914,0.0,-1.0
2206759000000,0,3.76437876928,3.35291312022,-0.0219893562593,0.0166811239309,-0.346201329064,0.937754151188,0.0,-1.0
2209607000000,0,3.67391150208,3.29264876713,-0.0164366411487,0.0213124478763,-0.140766389063,0.989676937239,0.0,-1.0
2213588000000,0,3.60558752924,3.19942149807,-0.0126870141502,0.0247349495281,0.0741511488996,0.996859483107,0.0,-1.0
2216847000000,0,3.57412975953,3.08385295069,-0.00607248455449,0.0245660720106,0.287922789101,0.957319226044,1.0,0.0
2222005000000,0,3.28730725038,2.91299707715,-0.00943364566268,0.0142533905055,0.275865608873,0.961044230527,1.0,0.0
2227277000000,0,3.00969707253,2.6436738524,-0.0116251610909,0.0432898839066,0.332141640951,0.942163877426,1.0,0.0
2232174000000,0,2.73595488488,2.43915144857,-0.0094120871999,0.0388769162093,0.315295715608,0.948150098729,0.0,1.0
2235783000000,0,2.76242349887,2.56907638943,-0.0215594866512,0.0389075121268,0.101003109061,0.993891224428,1.0,0.0
2241196000000,0,2.41484858908,2.47270041492,-0.00322196953864,0.0336024872995,0.119146143262,0.992302720094,1.0,0.0
2246845000000,0,2.03845573273,2.40546902028,0.0172929916876,-0.00359607292495,0.0905493393118,0.995735325199,0.0,-1.0
2250590000000,0,2.01538007734,2.28190432957,0.0138821886512,-0.00994124250591,0.314146050349,0.949221109956,1.0,0.0
2255787000000,0,1.69326931699,2.08977126483,0.0355772200427,-0.0370160850732,0.266906921849,0.962353763399,1.0,0.0
2260735000000,0,1.37983714754,1.88572883168,0.0422149310083,-0.0722060212185,0.293927208052,0.952161218737,0.0,-1.0
2263902000000,0,1.42852702725,1.75674776921,0.0206842752807,-0.0767819829828,0.511451427021,0.855624991245,1.0,0.0
2268742000000,0,1.22700269099,1.41036476672,-0.000718891217638,-0.0449447254471,0.500340194398,0.864661289014,1.0,0.0
2274240000000,0,1.07094288225,1.07555450245,-0.0436920912768,0.0222013239875,0.511948368782,0.857617029958,1.0,0.0
2279715000000,0,0.886036840569,0.607521230662,0.0383918749204,-0.0347918708469,0.542641322323,0.838365066645,1.0,0.0
2284556000000,0,0.722918932231,0.200321532394,-0.00233191562897,-0.0288744134518,0.558384782201,0.829076151764,0.0,1.0
2288451000000,0,0.650037647869,0.288762362972,0.00347929638349,-0.0230089771383,0.386356034634,0.922056124089,0.0,1.0
2292930000000,0,0.639692137383,0.40681139781,0.0086767354844,-0.024953619959,0.179813098166,0.983345961928,0.0,1.0
2296613000000,0,0.687316543021,0.516032455337,0.00816897706291,-0.0129317967458,-0.039591369456,0.999098873942,1.0,0.0
2301322000000,0,0.340846835424,0.543019546779,0.0107629335084,-0.0155355624241,-0.0419739091994,0.998939936387,0.0,-1.0
2305237000000,0,0.247180598853,0.440444193385,0.00313734273036,-0.0224946343272,0.144162007938,0.989293416522,0.0,-1.0
2309058000000,0,0.20288492128,0.314207975508,0.00255244972486,-0.0117454919494,0.357584840468,0.933803303853,1.0,0.0
2313921000000,0,-0.0400276516623,0.0609860079697,-0.00442813104359,0.00363982943321,0.373376818267,0.927662058553,1.0,0.0
2319825000000,0,-0.303876446442,-0.236669632288,0.00908562896199,0.00964853341257,0.394186258301,0.918935009082,1.0,0.0
2324777000000,0,-0.612360030835,-0.428887651886,-0.0126133033042,0.0117017695892,0.299028421654,0.954089081906,1.0,0.0
