%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
94945000000,0,0.238747574397,-0.254060971603,-0.0278285155534,-0.00732386233667,0.40951843463,0.91184789656,1.0,0.0
99970000000,0,-0.0385300799864,-0.52967041244,-0.0395723167715,-0.0267043652127,0.417239068763,0.907541992484,0.0,1.0
104046000000,0,-0.0750924918207,-0.381493965664,-0.0360305985832,-0.0256039606724,0.171426604925,0.984204832485,1.0,0.0
109068000000,0,-0.446348540184,-0.459638601425,-0.03203422323,0.016072575044,0.103319962648,0.994002246573,0.0,-1.0
112517000000,0,-0.445652056342,-0.589604307417,-0.0220260433469,0.0125860662229,0.345001397433,0.938259281926,1.0,0.0
117758000000,0,-0.721473222677,-0.854920963903,-0.0435221728039,0.0407619301659,0.355510992414,0.932768041796,1.0,0.0
122718000000,0,-1.01555495181,-1.15802132057,-0.0397973431709,0.0435299490021,0.411657621428,0.909428016798,1.0,0.0
127749000000,0,-1.2539853762,-1.40813717211,-0.0543091058985,0.0482309917993,0.401472142281,0.912986534084,1.0,0.0
133218000000,0,-1.51646655118,-1.7317500408,-0.0253795040335,0.058196177651,0.375403236829,0.924684538348,1.0,0.0
138034000000,0,-1.83010222072,-1.96169641174,0.0251100520312,0.0228194158731,0.299488796899,0.953496313615,1.0,0.0
143398000000,0,-2.12029061616,-2.18007097235,0.0396652289886,0.00805383885235,0.292698557717,0.95534776893,1.0,0.0
148869000000,0,-2.45622874519,-2.39997638476,0.0583655781853,-0.0352834761026,0.296792110475,0.952503532149,1.0,0.0
153434000000,0,-2.80892104906,-2.55981424575,0.0451752076848,-0.0748608989424,0.238644962462,0.967162669002,1.0,0.0
158460000000,0,-3.16043002929,-2.75406133019,0.0263522269009,-0.044484357426,0.257223142206,0.964967852934,1.0,0.0
163845000000,0,-3.50825151537,-2.96656846768,-0.00495380693398,-0.0191832672502,0.263687979795,0.964404537197,1.0,0.0
169070000000,0,-3.84667634438,-3.21195296169,-0.0331227829275,0.052045517192,0.289494702639,0.955189490382,0.0,1.0
172670000000,0,-3.81689268726,-3.04715551655,-0.0586243648636,0.0199545933334,0.0585773282632,0.996360223344,0.0,1.0
176272000000,0,-3.71627684665,-2.93687929236,-0.0449103310235,0.0257926692933,-0.161786161246,0.98546589916,0.0,1.0
179829000000,0,-3.58164897338,-2.83240995298,-0.0443522138204,0.0142889037536,-0.430311205217,0.901477107321,1.0,0.0
