%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
1397309000000,0,4.1783922791,3.51186859333,0.0402230594471,-0.0457981815704,0.255665361272,0.964841880879,0.0,-1.0
1401374000000,0,4.20729691865,3.31823351062,0.0195097851189,-0.03700837079,0.531173961015,0.846229266757,0.0,-1.0
1404726000000,0,4.25144618487,3.21689423318,-0.00422687375372,-0.031681661635,0.681536719177,0.731085566995,1.0,0.0
1410341000000,0,4.23620018661,2.82842838018,-0.000172440136613,0.00321060965901,0.673066315308,0.739575146586,0.0,1.0
1413593000000,0,4.1535643403,2.95400827195,4.0220555754e-05,0.00484015458814,0.499172099536,0.866489345769,0.0,1.0
1417420000000,0,4.10332098385,3.13877315465,0.00371987479277,-0.0112046931088,0.231698416545,0.972716022873,0.0,1.0
1421824000000,0,4.14295855704,3.26831926078,0.00528630388755,-0.00218225757204,0.0124997401354,0.999905520157,0.0,1.0
1425682000000,0,4.21837325058,3.38924427658,0.0139751977964,0.0107454063378,-0.227268718484,0.973672511519,0.0,-1.0
1429152000000,0,4.13374249754,3.2936054052,0.00630309569273,-0.000564894415803,-0.00519621614497,0.999966475046,1.0,0.0
1434631000000,0,3.75645561778,3.30257983704,-0.015876573611,0.020670035271,-0.00432118093852,0.999650944804,0.0,-1.0
1438020000000,0,3.73047702933,3.20980648409,-0.00983196946345,0.0232838535144,0.169291915697,0.985241818957,1.0,0.0
1442944000000,0,3.40763116668,3.10179257406,-0.00942253314641,0.012987090298,0.163210617853,0.986460767377,1.0,0.0
1448007000000,0,3.0998203188,2.98535196544,-0.0155898887059,0.0318863948053,0.167076616305,0.9853048348,0.0,-1.0
1451772000000,0,3.12755219264,2.86110879913,-0.0146842177998,0.0302452297276,0.423629624458,0.905211324005,0.0,1.0
1455538000000,0,3.12937640924,2.99507384666,-0.0163854858187,0.0283779024166,0.180352632687,0.983056019966,0.0,1.0
1458983000000,0,3.21750134996,3.09537062103,-0.0177201809446,0.013303068763,0.00245427962729,0.999751469146,0.0,-1.0
1462098000000,0,3.18406595506,2.99578617213,-0.0176139278848,0.0229688066664,0.226333793396,0.973619636938,0.0,-1.0
1465901000000,0,3.22723403298,2.86702403705,-0.0133478232224,0.0236287783034,0.49279040616,0.86972474499,0.0,-1.0
1469152000000,0,3.3145448577,2.75398131017,-0.000813616017191,0.0214050458181,0.658130616831,0.752598998958,0.0,-1.0
1473262000000,0,3.45709456053,2.73087895336,0.00367759424276,0.0196951320702,0.826672994896,0.562325827775,0.0,1.0
